productname,process_stage,duration_hours,ph,temperature_c,experiment_type,additive_dose_pct,влага,сухие_вещества,fat_pct,protein_pct,density_kg_m3,кислотность,orp_mv,viscosity_mpa_s,water_activity,kmafanm,lactic_bacteria,pressure_mpa,humidity_pct
Айран,Ферментация,0.0,5.98,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,20.0,22.53057792380388,20.50321353758714,0.8712,10000.0,10000000,0.1,80.0
Айран,Ферментация,0.20408163265306123,5.852226603692976,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,25.11093585228096,22.697786637566352,24.51780836067365,0.8712,12263.982635139904,10000000,0.1,80.0
Айран,Ферментация,0.40816326530612246,5.744507089937197,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,29.419716402512144,24.921846102430422,28.55434074320131,0.8712,15040.527007501314,10000000,0.1,80.0
Айран,Ферментация,0.6122448979591837,5.6513922426028005,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,33.144310295888,29.17169230471614,32.60970207988523,0.8712,18445.67620433489,10000000,0.1,80.0
Айран,Ферментация,0.8163265306122449,5.569390542724399,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,36.424378291024055,34.11961498429252,36.681567128924684,0.8712,22621.74526633764,10000000,0.1,80.0
Айран,Ферментация,1.0204081632653061,5.4961299082075135,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,39.35480367169948,34.372772210568534,40.76812951709801,0.8712,27743.26911229232,10000000,0.1,80.0
Айран,Ферментация,1.2244897959183674,5.4299250221264606,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,42.002999114941595,35.760256994334696,44.86794463100228,0.8712,34024.29706351663,10000000,0.1,80.0
Айран,Ферментация,1.4285714285714286,5.3695354018393795,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,44.41858392642484,38.637734990757494,48.97983030306343,0.8712,41727.33883598096,10000000,0.1,80.0
Айран,Ферментация,1.6326530612244898,5.314021430899281,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,46.639142764028776,41.22620169715586,53.10280090264008,0.8712,51174.335889506954,10000000,0.1,80.0
Айран,Ферментация,1.836734693877551,5.262654299106195,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,48.693828035752205,43.00815801881224,57.236021850471545,0.8712,62760.11667137301,10000000,0.1,80.0
Айран,Ферментация,2.0408163265306123,5.214857306609636,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,50.60570773561459,42.245819373794035,61.37877720038932,0.8712,76968.89810370731,10000000,0.1,80.0
Айран,Ферментация,2.2448979591836737,5.170166273972592,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,52.39334904109633,46.432695231335934,65.5304459021565,0.8712,94394.52297897195,10000000,0.1,80.0
Айран,Ферментация,2.4489795918367347,5.128202049233037,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,54.07191803067853,46.386030425748054,69.69048401707045,0.8712,115765.27906664264,10000000,0.1,80.0
Айран,Ферментация,2.6530612244897958,5.0886509306816725,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,55.65396277273312,45.81151646963504,73.85841112734488,0.8712,141974.33722254302,10000000,0.1,80.0
Айран,Ферментация,2.857142857142857,5.051250418739078,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,57.14998325043691,44.72575927694146,78.03379976993081,0.8712,174117.08063327652,10000000,0.1,80.0
Айран,Ферментация,3.0612244897959187,5.015778645689661,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,58.56885417241358,50.7009268307466,82.2162670964711,0.8712,213536.88533677583,10000000,0.1,80.0
Айран,Ферментация,3.2653061224489797,4.982046399748322,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,59.91814401006714,53.95407996980081,86.40546820154553,0.8712,261881.26537320795,10000000,0.1,80.0
Айран,Ферментация,3.4693877551020407,4.949891014986359,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,61.20435940054566,52.63853466451167,90.60109072128677,0.8712,321170.72910054866,10000000,0.1,80.0
Айран,Ферментация,3.673469387755102,4.919171626654794,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,62.43313493380825,48.896319083757014,94.80285041327997,0.8712,393883.2244604352,10000000,0.1,80.0
Айран,Ферментация,3.8775510204081636,4.889765441371232,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,63.60938234515075,52.93181376132479,99.01048750424967,0.8712,483057.70250556926,10000000,0.1,80.0
Айран,Ферментация,4.081632653061225,4.861564772332393,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,64.73740910670429,53.59139942128799,103.22376364550998,0.8712,592421.1275298878,10000000,0.1,80.0
Айран,Ферментация,4.285714285714286,4.83447465865083,42.0,Контроль,0.0,88.0,12.0,3.2,3.0,1035.76,65.82101365396682,54.095005383304446,107.44245935462023,0.8712,726544.2420716546,10000000,0.1,80.0
